,id,Title,Episode,Season,character_names,Total Spoken Words,number of scene changes,Sarcasm Index,Emotional Archetype,vote_average,holiday_episode,director_popularity,writer_popularity,Joey_Rachel_Monica_Chandler_itemset,Rachel_Ross_Monica_Chandler_itemset,Joey_Phoebe_Monica_Chandler_itemset,Joey_Ross_Monica_Chandler_itemset,Rachel_Phoebe_Monica_Chandler_itemset,Joey_Rachel_Phoebe_Chandler_itemset,Joey_Rachel_Ross_Chandler_itemset,Joey_Ross_Phoebe_Chandler_itemset,Ross_Phoebe_Monica_Chandler_itemset,Joey_Rachel_Phoebe_Monica_itemset,sentiment,Ross_spoken_words,Rachel_spoken_words,Chandler_spoken_words,Monica_spoken_words,Phoebe_spoken_words,Joey_spoken_words,Central Perk_occurrences,Monica's Apartment_occurrences,Ross's Apartment_occurrences,Chandler's Apartment_occurrences,Ralph Lauren_occurrences,Bloomingdales_occurrences,Phoebe's Apartment_occurrences
60,86353, The One Where Monica And    Richard Are Friends,13,3,"['Clerk', 'Richard', 'Gunther', 'Robert']",2770,14,0.4285714285714285,Uncharted,8.189,0,11.6245,1.388,0,0,0,0,0,0,0,0,0,0,0.0650430890649101,203,316,229,688,220,371,4,0,0,0,0,0,0
61,1007807, The One With Phoebe's    Ex-Partner,14,3,"['Mark', 'Lecturer', 'Ginger', 'Gunther', 'Leslie']",2803,19,0.7142857142857143,Uncharted,7.838,0,11.319,1.021,0,0,0,0,0,0,0,0,0,0,0.0453658044299152,382,347,407,193,536,274,6,0,0,0,0,0,0
62,86300, The One Where Ross and    Rachel Take A Break,15,3,"['Chloe', 'Mark', 'Sophie', 'Sergei', 'Mischa', 'Issac']",2801,17,0.25,Uncharted,8.027,0,3.7175,1.388,0,0,0,0,0,0,0,0,0,0,-0.0038941525062521,406,618,259,254,415,198,2,0,0,0,0,0,0
63,86304, The One The Morning After,16,3,"['Mark', 'Chloe', 'Gunther', 'Jasmine', 'Issac']",3129,14,0.4285714285714285,Uncharted,8.5,0,3.7175,4.7685,0,0,0,0,0,0,0,1,0,0,0.0100971813105129,1112,652,290,260,242,267,1,0,0,0,0,0,0
64,86358, The One Without The Ski    Trip,17,3,['Carol'],3222,11,0.5714285714285714,Uncharted,8.216,0,2.4065,2.394,0,0,1,0,1,0,0,0,0,1,0.03351623218142,667,384,434,322,631,383,1,0,1,0,0,0,0
65,86359, The One With The Hypnosis    Tape,18,3,"['Alice', 'Frank', 'Pete', 'Gunther', 'Walker']",3146,16,0.4285714285714285,Uncharted,8.2,0,11.6245,1.261,0,0,0,0,0,0,0,0,0,0,0.0973769820651733,206,270,244,326,572,233,2,0,0,0,0,0,3
66,86360, The One With The Tiny    T-Shirt,19,3,"['Mark', 'Pete', 'Gunther', 'Kate']",2887,16,0.8571428571428571,Uncharted,8.139,0,2.4105,2.15,0,0,0,0,0,0,0,0,0,0,0.1108658540824682,462,399,436,313,129,392,3,0,0,0,0,0,0
67,86306, The One With The    Dollhouse,20,3,"['Sophie', 'Lauren', 'Kate', 'Joanna']",2977,15,0.0,Uncharted,8.0,0,2.4105,1.021,0,0,0,0,0,0,0,0,0,0,0.0423272172830841,268,338,469,266,340,506,1,0,0,0,0,0,0
68,86365, The One With A    Chick.  And A Duck,21,3,"['Pete', 'Gunther']",3203,16,0.1428571428571428,Uncharted,8.361,0,4.138,0.6,0,0,0,0,0,0,0,0,0,0,0.0919603927402549,596,509,513,600,231,282,3,0,0,0,0,0,0
69,86310, The One With The Screamer,22,3,"['Cailin', 'Lauren', 'Tommy', 'Pete', 'Gunther', 'Estelle', 'Kate']",2967,13,0.0,Uncharted,8.171,0,2.7455,2.394,0,1,0,0,0,0,0,0,0,0,-0.0614529229493893,361,173,180,192,371,636,1,0,0,0,0,0,0
70,86318, The One With Ross's Thing,23,3,"['Jason', 'Johnson', 'Pete', 'Vince', 'Rhodes']",3040,15,0.2857142857142857,Rags to Riches,8.028,0,3.842,2.4285,0,0,0,0,0,0,0,0,0,0,0.0204831341621766,306,239,196,428,698,203,4,0,0,0,0,0,0
71,86369, The One With The Ultimate    Fighting Championship,24,3,"['Stevens', 'Hoshi', 'Phil', 'Billy', 'Doug', 'Pete', 'Bonnie', 'Robin']",3083,15,0.4285714285714285,Man in a Hole,8.026,0,21.617,1.788,0,0,0,0,0,0,0,0,0,0,0.0329968162671799,231,319,328,412,356,111,4,0,0,0,0,0,0
72,86330, The One At The Beach,25,3,['Bonnie'],3157,13,0.7142857142857143,Uncharted,8.472,0,3.296,1.788,0,0,0,0,0,0,0,1,0,0,0.0552003411638412,467,423,318,192,761,283,2,0,0,0,0,0,0
73,86528, The One With The Jellyfish,1,4,"['5', 'Ursula', 'Bonnie']",2627,13,0.5714285714285714,Uncharted,8.842,0,3.842,1.021,0,1,0,0,0,0,0,0,0,0,-0.0783889395896788,573,378,250,189,395,259,2,0,0,0,0,0,0
74,86453, The One With The Cat,2,4,"['Peter', 'Tony']",2735,15,0.1428571428571428,Uncharted,8.029,0,3.842,0.6,1,0,0,0,0,1,1,0,0,0,0.0489528286751606,373,405,271,430,376,360,3,0,0,0,0,0,0
75,86385, The One With The 'Cuffs,3,4,"['Sophie', 'Geller', 'Salesman', 'Joanna']",3075,16,0.1666666666666666,Uncharted,8.514,0,3.859,1.261,0,0,0,0,0,0,0,0,0,0,0.0190973443008101,40,509,720,412,308,327,1,0,0,0,0,0,0
76,86388, The One With The Ballroom Dancing,4,4,"['Simon', 'Lambert', 'Rick', 'Treeger', 'Potter']",2684,15,0.5714285714285714,Uncharted,8.194,0,2.681,2.4285,1,1,0,1,0,0,0,0,0,0,0.1214578377436833,141,183,242,210,469,629,1,0,0,0,0,0,0
77,86401, The One With Joey's New Girlfriend,5,4,"['Amanda', 'Josh', 'Gunther', 'Kathy']",2738,16,0.0,Uncharted,8.306,0,2.681,1.601,0,0,0,0,0,0,0,0,0,0,-0.0089029713202745,349,269,675,301,384,229,5,0,0,0,0,0,0
78,86403, The One With The Dirty Girl,6,4,"['Burkart', 'Cheryl', 'Gunther', 'Kathy']",263,13,0.0,Rags to Riches,8.457,1,3.842,2.394,0,0,1,0,1,0,0,0,0,0,-0.4272806186868687,2,39,0,16,17,0,2,0,0,0,0,0,0
79,86405, The One Where Chandler Crosses the Line,7,4,"['Casey', 'Kathy']",2753,11,0.5714285714285714,Man in a Hole,8.4,0,1.519,2.15,0,0,0,0,0,0,0,0,1,0,0.0365467014328114,368,70,910,130,304,638,5,0,0,0,0,0,0
80,86406, The One With Chandler In A Box,8,4,"['Burke', 'Tim', 'Gunther', 'Kathy']",2962,9,0.7142857142857143,Uncharted,8.722,0,3.859,1.388,1,1,0,0,0,0,0,0,0,0,0.0013299690141207,351,280,587,445,309,508,1,0,0,0,0,0,0
81,86437, The One Where They're Gonna PARTY!,9,4,"['Lynch', 'Sophie', 'Allesandro', 'Posner', 'Gunther', 'Joanna']",3018,14,0.2857142857142857,Uncharted,8.057,0,3.859,2.4285,0,0,0,0,0,0,0,0,0,0,0.1240623211465208,237,470,288,579,379,281,3,0,0,0,0,1,0
82,86408, The One With The Girl From Poughkeepsie,10,4,"['Poughkeepsie', 'Mike', 'Drew', 'Waiter']",2951,16,0.4285714285714285,Uncharted,7.914,0,2.843,3.0,1,0,1,0,0,0,0,0,0,0,0.0496345346191563,324,374,585,580,353,379,5,0,0,0,0,0,0
83,86460, The One With Phoebe's Uterus,11,4,"['Alice', 'Frank', 'Kathy']",2877,11,0.1666666666666666,Uncharted,8.629,0,8.316,1.261,0,1,0,0,0,0,0,0,0,0,0.088700311017269,296,215,315,312,485,376,3,0,0,0,0,0,0
84,86407, The One With The Embryos,12,4,"['Alice', 'Zane', 'Frank']",2764,10,0.5,Uncharted,8.897,0,1.519,0.6,1,1,0,0,0,0,0,0,0,0,0.0757986284859604,474,428,280,430,525,232,0,0,0,0,0,0,0
85,86475, The One With Rachel's Crush,13,4,"['Waltham', 'Joshua', 'Kathy']",3289,13,0.2857142857142857,Oedipus,8.25,0,3.086,1.788,0,0,0,0,0,1,0,1,0,0,0.0960597364784376,259,718,648,327,234,416,1,0,0,0,0,3,0
